customer_id,gender,marital_status,seniorcitizen,tenure,auto_renewal,subscription_type,devices_connected,tickets_raised,feedback_sentiment,payment_method,subscription_status,country,language,failed_login_attempts,login_frequency,monthly_usage_hours,server_switch_frequency,streaming_access,average_speed_mbps,connection_success_rate,plan_upgrade_attempts,last_login,unresolved_tickets,discount_used,churn
1041,Female,Single,True,9,on,gold,9,14,neutral,upi,active,India,Hindi,9,9,58,10,True,poor,11,1,very_old,20,False,no
1042,Female,Married,False,7,off,gold,5,14,positive,paypal,expired,UK,Telugu,27,7,165,3,True,better,18,2,recent,3,False,no
1043,Male,Married,True,8,on,basic,1,10,positive,card,cancelled,US,Telugu,11,21,10,2,True,good,13,0,very_old,15,False,no
1044,Male,Married,False,6,off,basic,10,4,positive,paypal,active,India,Hindi,17,2,146,4,True,good,2,5,old,7,True,no
1045,Female,Married,False,2,off,basic,6,8,neutral,upi,expired,India,English,45,25,124,3,True,poor,12,6,very_old,15,False,yes
1046,Male,Married,True,8,off,gold,7,11,neutral,upi,active,India,Hindi,23,1,106,1,False,poor,19,8,recent,17,True,no
1047,Male,Married,True,7,on,gold,9,16,negative,card,cancelled,India,Hindi,1,1,171,3,True,good,11,8,old,8,True,yes
1048,Female,Single,False,3,on,gold,4,14,neutral,upi,active,India,Telugu,33,1,166,2,True,poor,19,3,old,9,False,no
1049,Male,Single,True,9,on,basic,9,16,negative,paypal,cancelled,India,Hindi,28,17,195,6,False,good,18,4,old,9,False,yes
1050,Male,Married,True,1,on,basic,7,15,negative,upi,cancelled,India,Telugu,14,7,66,9,False,better,2,8,very_old,17,True,yes
1051,Female,Married,False,6,off,basic,1,8,negative,card,cancelled,India,English,37,8,16,3,False,poor,10,7,old,6,True,yes
1052,Female,Single,False,1,on,basic,6,19,neutral,paypal,active,US,English,42,24,19,10,True,poor,11,8,old,12,False,no
1053,Male,Married,True,7,off,premium,4,4,positive,card,expired,UK,Telugu,27,21,175,4,False,better,17,3,very_old,16,True,yes
1054,Male,Married,False,4,off,premium,9,13,positive,card,active,Germany,Hindi,42,2,190,6,True,better,6,5,old,3,False,no
1055,Female,Married,False,7,on,basic,6,8,negative,upi,active,UK,Hindi,21,25,65,2,False,poor,9,6,old,9,False,no
1056,Female,Married,False,6,off,basic,3,20,neutral,paypal,active,UK,Hindi,48,3,41,1,True,good,10,1,old,19,False,no
1057,Female,Single,True,9,on,premium,5,10,neutral,upi,expired,UK,Hindi,38,10,154,2,True,better,20,1,old,4,True,yes
1058,Male,Single,False,5,on,basic,1,17,neutral,paypal,expired,India,Hindi,45,17,106,8,False,poor,17,8,old,16,True,no
1059,Male,Married,False,7,on,basic,3,15,neutral,paypal,expired,UK,English,46,14,135,2,False,better,5,6,very_old,7,True,yes
1060,Male,Married,False,4,on,premium,10,6,positive,upi,expired,UK,Hindi,44,11,25,4,False,better,17,5,old,19,False,yes
1061,Female,Married,False,1,off,premium,4,11,negative,upi,cancelled,Germany,Telugu,45,12,87,10,False,good,12,3,old,10,True,yes
1062,Female,Married,True,1,off,basic,7,4,negative,card,expired,India,Hindi,15,11,126,10,True,poor,6,9,recent,3,False,yes
1063,Female,Single,False,9,on,premium,2,19,negative,upi,cancelled,India,Telugu,47,11,143,4,False,better,19,7,recent,11,True,no
1064,Female,Married,True,10,off,premium,3,5,positive,upi,expired,India,Hindi,46,9,33,7,False,poor,5,7,very_old,14,False,yes
1065,Male,Married,False,1,on,premium,6,3,neutral,paypal,cancelled,UK,Hindi,26,11,77,9,False,good,8,8,recent,19,True,yes
1066,Female,Single,True,5,on,premium,1,4,neutral,card,expired,Germany,Hindi,5,6,112,1,True,good,14,4,very_old,15,True,no
1067,Male,Married,True,9,on,basic,6,8,positive,upi,expired,US,Telugu,6,5,162,2,False,poor,20,3,recent,4,True,no
1068,Male,Married,True,5,off,premium,9,19,neutral,upi,active,US,Telugu,6,3,147,6,False,good,14,9,recent,12,False,no
1069,Female,Single,True,3,off,premium,5,19,positive,upi,expired,India,Telugu,34,25,71,1,False,poor,16,9,very_old,8,False,yes
1070,Female,Single,False,8,off,premium,2,3,negative,upi,active,UK,English,31,18,23,9,True,poor,18,3,old,13,False,no
1071,Male,Single,True,10,on,basic,8,2,positive,paypal,active,UK,English,47,19,12,7,False,good,15,4,recent,16,False,yes
1072,Male,Married,False,10,off,premium,5,14,positive,paypal,expired,Germany,Telugu,0,24,146,8,True,good,2,0,recent,14,True,no
1073,Female,Married,False,10,off,gold,1,19,positive,card,cancelled,US,Hindi,41,20,74,2,False,good,3,5,recent,0,True,no
1074,Male,Single,True,3,off,premium,8,2,negative,paypal,cancelled,UK,English,49,19,114,6,True,good,4,8,recent,19,True,yes
1075,Male,Single,False,7,on,basic,2,17,negative,upi,expired,Germany,Telugu,29,8,117,1,False,better,14,7,very_old,16,True,yes
1076,Female,Married,True,9,off,basic,5,16,positive,paypal,expired,US,Telugu,26,19,19,6,False,poor,13,10,recent,12,False,yes
1077,Female,Married,False,3,on,gold,6,1,positive,upi,active,UK,Hindi,17,17,48,1,True,better,14,4,very_old,15,False,no
1078,Female,Married,True,5,off,premium,7,20,neutral,upi,expired,UK,English,45,3,51,1,False,good,6,0,old,12,True,yes
1079,Male,Single,True,7,off,premium,10,15,positive,paypal,cancelled,US,Telugu,5,7,175,7,True,better,17,10,old,13,True,yes
1080,Female,Single,False,9,on,gold,9,10,negative,paypal,cancelled,Germany,Telugu,18,10,52,2,True,good,15,3,recent,3,False,yes
1081,Female,Married,False,10,on,gold,3,17,neutral,card,expired,India,Hindi,36,17,39,7,True,better,10,4,very_old,8,True,yes
1082,Female,Single,False,2,on,premium,8,11,neutral,upi,cancelled,UK,Telugu,13,6,70,1,True,good,10,8,old,15,True,no
1083,Male,Married,False,6,off,gold,3,11,negative,upi,expired,Germany,Telugu,42,7,85,9,False,poor,2,2,very_old,6,False,yes
1084,Male,Married,True,1,on,basic,3,20,negative,paypal,active,India,English,44,17,15,6,False,poor,8,4,recent,8,True,no
1085,Female,Single,True,8,off,premium,3,13,neutral,upi,cancelled,US,Hindi,6,13,199,7,False,better,7,7,old,19,False,yes
1086,Male,Married,False,2,off,gold,3,11,positive,paypal,expired,US,English,15,23,97,9,False,better,17,0,recent,16,True,yes
1087,Male,Married,True,7,off,gold,8,10,negative,upi,active,UK,Telugu,43,1,146,1,True,poor,3,10,recent,1,False,no
1088,Male,Single,False,1,off,gold,10,10,positive,upi,expired,US,Hindi,46,5,142,8,False,poor,18,6,recent,11,True,yes
1089,Female,Married,False,6,on,basic,2,8,neutral,card,active,UK,English,5,9,166,2,True,better,19,2,old,0,True,no
1090,Male,Single,True,6,off,gold,10,20,positive,paypal,cancelled,India,English,3,16,81,7,False,poor,18,0,recent,9,False,yes
1091,Female,Married,True,4,on,premium,5,10,neutral,paypal,cancelled,Germany,Telugu,6,4,40,1,True,poor,10,7,old,1,True,no
1092,Female,Single,False,6,on,basic,1,19,negative,paypal,cancelled,Germany,Hindi,28,10,190,9,False,poor,17,3,old,14,True,yes
1093,Female,Single,False,5,on,premium,6,20,negative,upi,expired,India,English,12,11,70,6,True,better,12,1,very_old,0,True,yes
1094,Female,Married,False,6,on,gold,1,11,positive,paypal,expired,Germany,Hindi,10,5,12,1,False,poor,9,8,old,13,True,no
1095,Female,Single,False,3,on,premium,8,2,positive,card,cancelled,Germany,Telugu,21,14,164,9,False,poor,7,9,old,10,False,yes
1096,Female,Married,False,9,off,basic,10,9,positive,paypal,active,India,Telugu,20,16,89,7,True,good,15,5,old,7,False,no
1097,Female,Married,False,6,on,premium,6,15,negative,paypal,cancelled,UK,English,35,8,123,3,True,good,14,7,recent,0,False,no
1098,Male,Married,False,7,on,basic,8,16,neutral,paypal,active,Germany,English,9,18,31,6,True,poor,18,0,recent,3,True,no
1099,Female,Single,True,8,off,premium,9,15,negative,upi,active,UK,English,31,9,63,1,False,poor,3,3,recent,7,False,yes
1100,Female,Married,False,3,off,gold,3,9,positive,paypal,cancelled,UK,Hindi,42,5,158,9,True,poor,7,7,old,8,False,yes
1101,Male,Married,False,6,on,basic,7,2,neutral,paypal,expired,US,Hindi,30,18,17,10,True,better,2,8,very_old,12,False,yes
1102,Female,Single,True,4,on,premium,2,1,positive,card,active,UK,Telugu,5,21,103,7,False,better,11,1,recent,19,True,no
1103,Female,Married,True,9,off,gold,2,16,negative,upi,active,Germany,Hindi,11,9,88,6,True,better,10,5,recent,8,True,no
1104,Male,Single,False,2,off,premium,6,11,neutral,card,expired,India,Hindi,18,14,80,10,True,good,19,0,old,3,False,yes
1105,Female,Single,True,5,off,premium,9,0,positive,upi,cancelled,US,Hindi,48,13,110,3,False,poor,15,8,very_old,14,False,yes
1106,Male,Married,True,10,on,basic,9,7,neutral,card,expired,UK,Hindi,22,16,180,7,True,poor,15,1,very_old,0,True,no
1107,Female,Married,False,8,on,basic,9,14,positive,card,active,India,Hindi,41,17,75,10,True,poor,8,1,old,18,False,no
1108,Female,Single,False,4,on,premium,5,3,negative,upi,active,Germany,Telugu,45,17,133,10,True,poor,1,9,very_old,0,True,no
1109,Female,Single,True,7,off,basic,3,12,positive,paypal,expired,UK,Telugu,16,13,13,2,True,poor,11,4,old,10,True,no
1110,Female,Single,True,3,on,gold,1,15,neutral,paypal,active,Germany,Hindi,24,8,121,1,False,better,1,0,old,11,True,no
1111,Male,Single,True,4,on,premium,5,6,negative,upi,active,UK,Hindi,40,15,157,4,False,good,18,9,old,1,True,no
1112,Female,Single,False,7,on,gold,7,12,positive,card,cancelled,India,Telugu,42,11,23,3,True,good,5,2,recent,5,False,yes
1113,Female,Married,True,9,on,basic,5,2,neutral,card,expired,US,Hindi,25,14,176,8,True,good,15,9,recent,15,True,no
1114,Female,Single,True,9,on,basic,4,5,neutral,card,cancelled,US,Telugu,14,16,154,3,False,poor,4,3,very_old,4,False,yes
1115,Female,Single,True,9,off,basic,7,2,neutral,upi,expired,Germany,English,19,12,168,3,True,poor,17,2,old,19,True,yes
1116,Female,Married,True,2,on,gold,6,12,negative,paypal,expired,Germany,English,48,13,86,7,False,better,4,4,recent,0,True,yes
1117,Male,Single,False,7,off,premium,1,17,positive,upi,cancelled,Germany,Hindi,30,23,188,7,True,better,8,3,recent,15,True,yes
1118,Male,Single,True,4,off,basic,3,2,positive,paypal,active,US,Telugu,43,4,124,2,True,better,2,8,old,11,True,yes
1119,Male,Married,False,7,off,gold,8,11,negative,card,cancelled,Germany,Telugu,42,7,10,4,True,good,13,10,very_old,6,False,yes
1120,Male,Married,False,1,off,basic,1,5,positive,paypal,cancelled,US,English,37,17,78,3,False,good,9,10,very_old,15,False,yes
1121,Female,Single,False,3,off,gold,10,10,neutral,card,cancelled,India,Telugu,44,17,80,10,False,poor,19,1,old,18,True,yes
1122,Male,Single,False,3,on,premium,4,10,positive,upi,active,US,Telugu,9,20,21,2,False,poor,20,2,old,18,True,no
1123,Male,Married,True,4,on,gold,8,16,neutral,upi,cancelled,Germany,Telugu,15,7,40,4,False,better,2,5,very_old,16,False,no
1124,Male,Single,True,3,off,premium,8,6,neutral,paypal,cancelled,US,Hindi,45,23,59,8,False,poor,2,2,very_old,4,True,yes
1125,Female,Married,True,5,off,gold,7,14,neutral,paypal,active,Germany,Hindi,13,10,191,8,True,poor,8,7,very_old,17,True,no
1126,Male,Married,True,10,on,basic,2,17,positive,paypal,expired,India,Telugu,23,4,191,6,True,good,12,0,old,2,False,no
1127,Female,Single,False,7,on,premium,8,5,neutral,upi,expired,India,Hindi,2,22,84,3,True,poor,3,1,old,6,False,yes
1128,Female,Married,False,9,off,basic,4,8,neutral,upi,active,Germany,English,37,2,148,5,True,good,18,8,old,18,False,yes
1129,Female,Single,True,7,off,gold,2,12,neutral,paypal,cancelled,Germany,English,25,0,171,8,False,good,18,0,old,10,True,yes
1130,Male,Single,True,3,on,basic,2,4,neutral,paypal,active,Germany,Hindi,0,6,96,8,True,better,19,4,very_old,19,True,no
1131,Female,Single,False,3,on,basic,8,20,neutral,paypal,cancelled,Germany,Telugu,30,3,154,10,False,poor,10,8,very_old,5,False,yes
1132,Male,Single,False,9,on,gold,3,0,neutral,paypal,cancelled,India,English,22,19,28,6,False,better,6,9,old,2,False,yes
1133,Female,Single,True,2,on,gold,2,12,negative,upi,cancelled,US,English,42,6,90,4,True,better,13,1,recent,15,False,yes
1134,Male,Single,False,8,on,premium,5,18,neutral,upi,active,UK,Hindi,33,1,116,4,False,poor,3,0,very_old,17,False,no
1135,Male,Married,False,4,on,premium,6,17,negative,upi,cancelled,Germany,Telugu,24,24,30,1,True,good,12,5,recent,6,True,no
1136,Male,Married,False,8,off,premium,2,1,negative,paypal,active,UK,Hindi,3,13,129,6,False,better,5,8,recent,13,False,no
1137,Female,Married,False,3,on,basic,5,4,positive,upi,expired,India,Telugu,40,14,89,10,True,good,12,1,very_old,9,True,yes
1138,Female,Single,True,10,off,gold,6,10,positive,upi,cancelled,US,Hindi,33,17,180,5,False,poor,15,1,recent,17,True,yes
1139,Male,Single,True,9,on,premium,5,14,neutral,card,active,US,English,36,19,200,6,True,good,18,9,recent,10,True,no
1140,Male,Married,True,4,off,gold,2,19,neutral,upi,active,US,Telugu,14,25,61,5,True,poor,12,3,old,9,False,no
1141,Female,Single,True,4,on,premium,2,3,positive,paypal,cancelled,Germany,Telugu,38,15,23,2,True,poor,2,4,recent,2,True,yes
1142,Male,Single,True,10,off,premium,7,18,neutral,upi,active,US,English,46,6,157,4,True,poor,15,10,old,4,False,no
1143,Male,Married,False,5,on,premium,6,14,negative,card,cancelled,UK,Hindi,23,5,63,3,False,good,12,9,recent,7,False,yes
1144,Female,Single,False,6,on,basic,7,12,negative,upi,cancelled,UK,Telugu,47,7,159,2,False,good,12,7,recent,14,True,yes
1145,Male,Single,True,4,on,basic,8,12,positive,paypal,active,India,Hindi,8,12,154,10,True,good,7,5,recent,19,False,no
1146,Male,Married,False,6,off,gold,5,13,positive,card,cancelled,Germany,Hindi,0,10,141,3,True,poor,17,4,old,3,False,no
1147,Female,Single,True,2,off,basic,9,11,neutral,paypal,cancelled,India,English,18,13,121,5,False,poor,20,3,recent,9,True,no
1148,Female,Married,True,9,on,premium,4,8,neutral,upi,active,India,Telugu,6,7,167,7,False,poor,20,4,very_old,19,False,no
1149,Male,Married,False,4,off,premium,8,12,neutral,upi,cancelled,US,Telugu,11,12,100,6,False,good,12,5,recent,2,True,no
1150,Female,Single,False,10,off,gold,5,17,negative,upi,cancelled,India,Telugu,42,2,38,8,False,better,17,5,recent,12,True,yes
1151,Male,Single,False,8,on,premium,10,9,positive,card,cancelled,UK,Hindi,23,10,146,8,False,good,4,7,recent,13,False,no
1152,Female,Single,True,9,off,basic,5,3,negative,paypal,active,Germany,Telugu,37,7,21,9,False,poor,17,2,recent,6,True,no
1153,Female,Single,True,6,on,premium,10,10,neutral,upi,cancelled,UK,Hindi,29,19,146,6,False,poor,4,7,very_old,4,True,no
1154,Male,Married,True,6,off,premium,4,3,negative,upi,active,Germany,Hindi,39,4,61,3,True,good,12,5,very_old,16,False,yes
1155,Female,Married,True,10,off,basic,5,14,negative,card,active,India,Hindi,14,17,172,4,True,better,9,6,recent,0,False,no
1156,Male,Single,True,4,off,gold,1,19,positive,card,cancelled,India,English,9,4,148,10,True,better,16,3,old,3,True,yes
1157,Female,Single,True,8,on,premium,5,2,positive,card,active,India,Hindi,40,6,96,7,True,better,12,4,recent,12,True,no
1158,Male,Married,False,10,on,basic,1,15,positive,upi,active,Germany,Hindi,50,4,113,10,True,poor,9,3,very_old,11,True,yes
1159,Male,Married,True,8,on,premium,3,0,negative,upi,cancelled,US,English,12,1,16,9,True,better,17,1,very_old,0,True,no
1160,Male,Married,True,1,on,premium,9,0,negative,paypal,expired,India,Telugu,14,9,30,3,False,good,12,0,very_old,5,False,yes
1161,Male,Single,True,8,on,premium,3,19,negative,paypal,cancelled,US,Telugu,38,5,68,4,True,poor,14,2,recent,10,False,yes
1162,Male,Married,False,9,on,basic,5,3,neutral,upi,active,Germany,Hindi,43,5,193,10,False,poor,5,0,very_old,2,False,no
1163,Female,Married,True,8,off,premium,8,5,neutral,card,expired,UK,English,45,24,174,9,True,good,8,4,old,6,False,yes
1164,Male,Single,True,5,off,basic,10,15,negative,paypal,active,UK,Hindi,45,1,198,8,True,good,6,3,recent,12,False,no
1165,Female,Single,True,8,off,premium,2,18,neutral,card,active,UK,Hindi,45,14,82,5,False,better,1,2,old,7,True,no
1166,Male,Single,True,5,on,premium,10,11,positive,paypal,active,US,Hindi,4,10,85,5,False,better,16,1,very_old,18,False,no
1167,Male,Single,False,6,off,premium,5,13,neutral,upi,expired,Germany,English,40,11,20,9,False,poor,9,3,very_old,10,True,yes
1168,Male,Married,False,6,off,basic,8,2,neutral,upi,expired,Germany,Hindi,49,23,14,5,False,poor,16,0,old,5,True,yes
1169,Male,Single,False,2,off,basic,7,0,negative,card,cancelled,Germany,English,10,25,101,7,True,better,2,10,very_old,20,True,no
1170,Male,Single,False,7,off,gold,10,0,neutral,card,cancelled,India,Telugu,37,8,12,9,True,better,7,9,recent,20,False,yes
1171,Male,Single,True,5,off,gold,8,2,positive,upi,expired,Germany,Telugu,19,13,135,9,True,poor,16,10,recent,10,True,no
1172,Male,Married,False,6,off,gold,8,8,negative,paypal,active,India,Telugu,7,2,129,8,True,good,20,10,very_old,3,False,no
1173,Female,Single,False,9,off,gold,1,14,neutral,card,cancelled,India,English,37,19,89,2,False,poor,8,7,old,17,False,yes
1174,Female,Married,False,10,on,gold,2,9,neutral,card,active,India,Telugu,9,0,59,4,True,poor,11,10,old,17,True,no
1175,Female,Married,False,8,on,gold,1,8,neutral,upi,expired,US,English,25,21,173,10,False,better,11,5,old,2,True,yes
1176,Female,Married,False,3,off,gold,7,16,positive,upi,expired,India,English,31,25,151,5,False,good,9,3,recent,11,False,yes
1177,Female,Single,False,3,on,gold,6,4,negative,card,expired,UK,Telugu,13,2,115,5,True,better,16,9,old,17,False,yes
1178,Female,Married,True,3,on,basic,8,9,neutral,card,expired,UK,English,24,13,188,9,False,better,3,2,very_old,15,True,yes
1179,Female,Single,True,5,off,premium,7,7,neutral,paypal,expired,Germany,Telugu,13,3,174,4,True,good,7,2,recent,9,False,no
1180,Female,Single,True,2,off,gold,9,7,neutral,paypal,active,US,Hindi,15,12,133,4,True,good,4,6,recent,18,False,no
1181,Male,Single,True,1,off,basic,3,15,neutral,upi,expired,US,Hindi,12,5,68,10,True,poor,17,2,very_old,9,False,no
1182,Male,Single,True,1,on,premium,4,15,positive,card,expired,India,Telugu,23,25,135,8,False,better,17,10,very_old,1,False,no
1183,Male,Married,True,10,off,basic,6,18,neutral,paypal,active,Germany,English,39,13,89,2,False,poor,17,7,very_old,19,True,yes
1184,Female,Single,True,7,off,premium,4,20,negative,paypal,active,Germany,English,36,25,127,9,True,better,7,8,recent,5,True,no
1185,Female,Single,False,9,off,premium,9,0,positive,paypal,cancelled,India,Hindi,24,18,114,2,False,better,9,6,recent,1,True,yes
1186,Male,Married,False,2,off,premium,9,9,positive,card,expired,Germany,Hindi,7,11,115,9,False,poor,4,1,very_old,8,False,no
1187,Female,Single,True,10,off,gold,10,7,negative,upi,cancelled,UK,Hindi,39,12,130,3,True,good,3,5,old,8,False,yes
1188,Female,Single,False,5,off,gold,7,14,negative,card,expired,Germany,Telugu,10,8,195,5,True,poor,6,9,very_old,7,True,no
1189,Female,Single,True,3,on,premium,7,1,neutral,upi,expired,UK,Telugu,33,1,62,9,True,good,14,4,recent,9,False,yes
1190,Female,Single,False,10,on,basic,10,8,neutral,card,expired,UK,Telugu,17,5,160,3,True,better,11,0,recent,1,False,no
1191,Female,Married,False,1,off,gold,7,13,neutral,upi,active,Germany,Telugu,24,25,74,10,True,good,16,9,very_old,9,True,no
1192,Female,Single,True,5,off,premium,7,16,neutral,card,expired,Germany,Telugu,25,8,158,5,True,better,14,2,very_old,11,False,no
1193,Female,Single,False,7,on,gold,2,4,negative,card,cancelled,US,Hindi,18,14,120,4,False,poor,8,3,very_old,12,True,yes
1194,Female,Married,True,3,on,basic,3,5,negative,card,cancelled,US,Telugu,29,21,173,9,False,poor,7,8,very_old,7,True,yes
1195,Female,Single,False,9,off,basic,8,11,negative,card,cancelled,Germany,Telugu,41,22,176,3,True,better,15,6,recent,5,False,yes
1196,Female,Married,True,6,on,premium,8,19,negative,card,expired,US,Telugu,17,15,193,9,True,better,19,5,recent,12,True,no
1197,Female,Married,True,7,off,premium,6,4,neutral,paypal,expired,UK,Telugu,38,10,34,6,True,better,9,2,old,13,False,no
1198,Female,Single,False,1,off,gold,10,19,negative,upi,active,Germany,Hindi,23,8,90,4,True,good,16,5,very_old,1,True,no
1199,Female,Married,False,2,off,basic,5,9,neutral,paypal,cancelled,India,Hindi,44,12,51,1,False,better,20,1,old,1,True,no
1200,Male,Single,False,8,off,gold,5,11,positive,card,expired,US,Hindi,9,19,10,2,True,poor,13,0,recent,2,True,yes
1201,Male,Married,False,10,on,premium,8,11,neutral,upi,active,US,English,29,15,39,8,False,good,4,1,old,7,False,no
1202,Female,Single,False,6,on,premium,6,4,positive,paypal,cancelled,US,English,23,16,122,9,True,poor,13,10,recent,2,True,no
1203,Male,Married,False,9,off,premium,1,10,positive,card,cancelled,India,Telugu,4,9,190,2,False,good,5,8,very_old,3,True,no
1204,Male,Single,True,6,off,gold,5,0,negative,card,active,India,Hindi,21,25,136,1,True,poor,11,5,very_old,12,False,yes
1205,Female,Married,False,1,on,premium,3,3,positive,card,cancelled,US,English,26,11,144,1,False,better,8,4,recent,2,False,no
1206,Male,Married,True,3,off,gold,6,1,neutral,upi,cancelled,US,Telugu,32,6,122,6,False,good,13,8,old,3,True,yes
1207,Male,Single,True,1,on,premium,3,9,negative,card,active,India,English,49,22,185,2,False,better,14,10,very_old,2,True,no
1208,Female,Married,False,10,on,premium,3,10,neutral,card,expired,India,English,0,18,178,2,False,better,10,8,old,1,True,no
1209,Female,Single,True,6,off,gold,10,5,negative,paypal,cancelled,UK,English,44,14,88,4,True,good,4,7,very_old,16,False,yes
1210,Male,Married,False,1,off,premium,6,9,neutral,paypal,cancelled,UK,English,16,21,153,5,True,poor,1,7,old,20,True,no
